name,latitude,longitude,feature_type,category,town,state,name_note,source,error_margin_m
Squimshepauk,42.07722,-71.63,other,native-name,Uxbridge,MA,Native name for the plantation land sold by Nipmuc leaders (incl. Wutaushauk) that became Uxbridge,"Wikipedia: Uxbridge, Massachusetts",3000
Wacuntuc,42.07722,-71.63,other,native-name,Uxbridge,MA,Nipmuc name meaning 'a bend in the river' for the Uxbridge/Mendon area,Wikipedia: Nipmuc,3000
Sachem Street,42.398514,-71.239817,street,native-reference,Waltham,MA,Street named for a Native American sachem (chief),Redfin listing metadata,100
Agawam River,41.759170,-70.679170,river,native-name,Wareham,MA,Named for the Agawam people,Wikipedia,1000
Wankinco River,41.766215,-70.721702,river,native-name,Wareham/Carver/Plymouth,MA,"From 'Wonqun', said to mean 'crooked'",Wikipedia/USGS,1000
Weweantic River,41.721710,-70.724900,river,native-name,Wareham/Carver/Rochester/Middleborough,MA,'Crooked or wandering stream' in Wampanoag,Wikipedia,1000
Lake Chaubunagungamaug,42.04167,-71.84167,lake,native-name,Webster,MA,"Nipmuc; per Ives Goddard 'lake divided by islands', popularly 'fishing place at the boundary'",Wikipedia: Lake Chaubunagungamaug,400
Wickaboag Pond,42.26889,-72.15944,pond,native-name,West Brookfield,MA,Algonquian name for the pond bordering the Wickaboag Valley Historic District,Wikipedia: Wickaboag Valley Historic District,400
Mittineague,42.10694,-72.62083,other,native-name,West Springfield,MA,"Natick 'muttinohkou'+'ohke', 'land on the right'; neighborhood on the Westfield R.",Wikipedia,2500
Tatham,42.10694,-72.62083,other,native-name,West Springfield,MA,"Agawam-language word for the area/brook, poss. 'enclosure'",Wikipedia,2500
Nabnasset Pond,42.616256,-71.419347,pond,native-name,Westford,MA,Also the name of the adjoining Nabnasset village; Algonquian origin,Mass.gov,400
Acoaxet,41.507048,-71.096709,other,native-name,Westport,MA,Native village name for Westport's southwestern shore,GeoNames,500
Wessagusset,42.22083,-70.94028,other,native-name,Weymouth,MA,"Original name of the 1622 Wessagusset Colony, precursor to Weymouth","Wikipedia (Weymouth, Massachusetts)",1000
Minnechaug,42.12361,-72.43194,other,native-name,Wilbraham,MA,"Nipmuc, 'berry land'",Wikipedia,3000
Lake Monomonac,42.7175,-71.99528,lake,native-name,Winchendon,MA,Algonquian lake name; lake straddles Winchendon MA and Rindge NH,Wikipedia: Lake Monomonac,500
Indian Hill Road,42.446137,-71.159661,street,native-reference,Winchester,MA,Street name referencing local Native American history,Redfin listing metadata,100
Mystic River,42.433429,-71.149498,river,native-name,Winchester/Medford,MA,"Massachusett 'missi-tuk', big tidal river; resemblance to English 'mystic' is coincidence",Wikipedia: Mystic River Reservation,1500
Sachem Road,42.458131,-71.194389,street,native-reference,Woburn,MA,Street named for a Native American sachem (chief),Redfin listing metadata,100
Quinsigamond River,42.182,-71.69,river,native-name,Worcester/Grafton,MA,"Outlet stream of Lake Quinsigamond, flows to the Blackstone River",Wikipedia: Quinsigamond River,1500
Lake Quinsigamond,42.270833,-71.755,lake,native-name,Worcester/Shrewsbury,MA,Nipmuc name for the lake; Worcester itself was called Quinsigamond by the Nipmuc,Wikipedia: Lake Quinsigamond,400
Wollomonopoag,42.06667,-71.32861,other,native-name,Wrentham,MA,"Original native name for the area, purchased from Native inhabitants in the 1660s","Wikipedia (Wrentham, Massachusetts)",1500
Nayatt Point,41.725100,-71.338900,neck,native-name,Barrington,RI,"Coastal point, likely of Narragansett origin",GeoNames,300
Chockalog River,41.995300,-71.689700,river,native-name,Burrillville,RI,Native name,GeoNames,500
Nipmuc River,41.970800,-71.678900,river,native-name,Burrillville,RI,Named for the Nipmuc people,GeoNames,500
Pascoag River,41.960600,-71.702300,river,native-name,Burrillville,RI,Native name shared with the village of Pascoag,Wikipedia,500
Ninigret Pond,41.379268,-71.645340,pond,native-reference,Charlestown,RI,Named for the 17th-century Niantic sachem Ninigret,Wikipedia,500
Quonochontaug Pond,41.341670,-71.721670,pond,native-name,Charlestown,RI,Coastal salt pond; locally 'Quonnie Pond',Wikipedia,500
Watchaug Pond,41.383434,-71.689786,pond,native-name,Charlestown,RI,Native name,Wikipedia,500
Mishnock River,41.690100,-71.572285,river,native-name,Coventry/West Warwick,RI,Native name,GeoNames,800
Pawtuxet River,41.764416,-71.389094,river,native-name,Cranston/Warwick,RI,Possibly Narragansett for 'little falls' (uncertain),Wikipedia,1000
Chipuxet River,41.449268,-71.559783,river,native-name,Exeter/South Kingstown,RI,Native name; primary water source for URI,GeoNames,1000
Chepachet River,41.953900,-71.646100,river,native-name,Glocester,RI,Said to mean 'where rivers meet' (Pequot/Nipmuc),GeoNames/Wikipedia,500
Ponaganset River,41.832000,-71.730200,river,native-name,Glocester/Foster,RI,Native name,Wikipedia,1000
Ashaway River,41.416900,-71.797800,river,native-name,Hopkinton,RI,"Native name, shared with the village of Ashaway",GeoNames,500
Pettaquamscutt River,41.519083,-71.445492,river,native-name,Narragansett/South Kingstown,RI,Native name; also called the Narrow River,Wikipedia,1500
Sachem Pond,41.222500,-71.569650,pond,native-reference,New Shoreham,RI,'Sachem' is the Algonquian title for a chief,GeoNames,300
Annaquatucket River,41.548990,-71.436168,river,native-name,North Kingstown,RI,Native name,GeoNames,800
Cocumscussoc,41.585935,-71.458113,hill,native-name,North Kingstown,RI,Narragansett name; site of the Smith's Castle trading post,GeoNames,400
Quidnessett,41.627323,-71.453391,other,native-name,North Kingstown,RI,Narragansett name,GeoNames,400
Moshassuck River,41.826489,-71.412001,river,native-name,Providence,RI,Narragansett for 'river where moose watered',Wikipedia/GeoNames,1000
Woonasquatucket River,41.813989,-71.400611,river,native-name,Providence,RI,Algonquian for 'where the salt water ends',Wikipedia/GeoNames,1500
Moswansicut Pond,41.843600,-71.576100,pond,native-name,Scituate,RI,Native name; also called Great Pond,GeoNames,500
Saugatucket River,41.462880,-71.475058,river,native-name,South Kingstown,RI,Native name; empties at Silver Spring Cove,GeoNames,800
Usquepaug River,41.452879,-71.608396,river,native-name,South Kingstown,RI,Native name; tributary of the Pawcatuck,GeoNames,800
Mattatuxet River,41.520935,-71.444501,river,native-name,South Kingstown/Narragansett,RI,Native name,GeoNames,500
Sakonnet River,41.471072,-71.223935,river,native-name,Tiverton/Portsmouth,RI,From the Sakonnet people; interpreted as 'where the water pours forth',Wikipedia,2000
Kickemuit River,41.698200,-71.244200,river,native-name,Warren/Bristol,RI,Wampanoag for 'at the large spring',Wikipedia,1000
Apponaug,41.700379,-71.459780,other,native-name,Warwick,RI,Narragansett village/cove name,GeoNames,400
Cowesett,41.681212,-71.461169,other,native-name,Warwick,RI,Narragansett name,GeoNames,400
Nausauket,41.690700,-71.438100,other,native-name,Warwick,RI,Narragansett neighborhood name,GeoNames,400
Potowomut,41.655600,-71.435800,neck,native-name,Warwick,RI,Narragansett for 'land of fires',Wikipedia/GeoNames,300
Nooseneck River,41.620656,-71.620898,river,native-name,West Greenwich,RI,Native name,GeoNames,500
Maskerchugg River,41.647601,-71.454502,river,native-name,West Warwick/Coventry,RI,Native name,GeoNames,500
Misquamicut,41.323890,-71.821940,other,native-name,Westerly,RI,Narragansett for 'red fish place' / 'salmon place',Wikipedia,300
Weekapaug,41.330830,-71.755000,other,native-name,Westerly,RI,Narragansett for 'at the end of the pond',Wikipedia,300
Winnapaug Pond,41.331767,-71.786734,pond,native-name,Westerly,RI,"Coastal salt pond, also known as Brightman Pond",Wikipedia,400
Narragansett Bay,41.570252,-71.334229,other,native-name,coastal RI,RI,Named for the Narragansett people,GeoNames,3000
Moosup River,41.766100,-71.771400,river,native-reference,Coventry/Sterling,RI/CT,Named for the sachem Maussup,Wikipedia,1500
Pawcatuck River,41.320000,-71.860000,river,native-name,Westerly/Stonington,RI/CT,Native name; historic RI-CT boundary river,Wikipedia,1500
Wallum Lake,42.008709,-71.768403,lake,native-name,Burrillville/Douglas,RI/MA,Native name; straddles the Massachusetts line,Wikipedia,400
