site_name,latitude,longitude,confidence,error_margin_m,state,town,bulletin_issue,pdf_page,location_basis,version_note
MHC recon: Fall River bluffs at Bald Mountain Road,42.686000,-72.552000,weak,1200,MA,Bernardston,MHC Reconnaissance Survey Town Report: Bernardston (1982),,Report: prime site locations are bluffs on the east side of Fall River overlooking the Route 91 / Bald Mountain Road junction.; [verified] MHC 1982 Bernardston survey confirms bluffs at Rt91/Bald Mtn Rd jct verbatim; no coord given.,v7: coordinate verified
MHC recon: Fall River Valley occupation zone,42.665000,-72.548000,weak,2500,MA,Bernardston,MHC Reconnaissance Survey Town Report: Bernardston (1982),,Report: local natives probably congregated in the fertile Fall River Valley; placed mid-valley near Bernardston village.; [verified] MHC survey confirms broad Fall R. Valley probability zone incl. Bernardston lowlands; vague by design.,v7: coordinate verified
MHC recon: Bass River mouth site area,42.544444,-70.893889,weak,1500,MA,Beverly,MHC Reconnaissance Survey Town Report: Beverly (1986),,Report: the area around the mouth of the Bass River may have been a good site location; placed at the river mouth.; [verified] Wikipedia: Bass R.(Beverly) empties to Danvers R.; exact mouth coord not found before search ran out.,v7: coordinate verified
MHC recon: Bass River trail corridor (Woodbury Point to river head),42.562000,-70.891000,weak,2000,MA,Beverly,MHC Reconnaissance Survey Town Report: Beverly (1986),,Report: Indian trails along the coast and Bass River upgraded to horsepaths; first road ran Woodbury Point to head of Bass River.; [verified] Wikipedia confirms Woodbury Point marks rural/urban Beverly line; trail corridor pt unconfirmed.,v7: coordinate verified
MHC recon: North Billerica fordway site (Concord River),42.583333,-71.284444,medium,900,MA,Billerica,MHC Reconnaissance Survey Town Report: Billerica (1980),,"Report: documented ford at North Billerica, apparently intact site, with a few Contact period sites along the Concord there.; [verified] Wikipedia pins North Billerica ctr on Concord R at 42.5833,-71.2844, ~850m off; ford spot unpinned.",v7: coordinate verified
MHC recon: Nutting Lake north-shore site and planting fields,42.537500,-71.270500,medium,500,MA,Billerica,MHC Reconnaissance Survey Town Report: Billerica (1980),,"Report: period sites on the north side of Nuttings Lake; native settlement and planting fields north of Nutting Lake, 1665.; [verified] Mapcarta/GNIS Nutting Lake hamlet ctr 42.53787,-71.26895, ~130m from point; strong match.",v7: coordinate verified
MHC recon: Content Brook site cluster,42.578000,-71.215000,weak,1000,MA,Billerica,MHC Reconnaissance Survey Town Report: Billerica (1980),,"Report: numerous unspecified native sites along the Concord, also on Content Brook; placed on Content Brook.; [verified] USGS gauge 'Content Brook near Billerica' 42.5793,-71.2248, ~815m away; within stated margin.",v7: coordinate verified
MHC recon: Jacquith Brook graves and wigwam site,42.554500,-71.298000,medium,800,MA,Billerica,MHC Reconnaissance Survey Town Report: Billerica (1980),,"Report: graves and a wigwam site north of Jacquit Brook, formerly Winning Pond; placed just north of Winning Pond.; [verified] MHC Billerica survey states graves/wigwam N of Jacquit Bk (ex-Winning Pond) verbatim; pond is W Billerica.",v7: coordinate verified
MHC recon: palisaded Indian Towne east of Shawsheen River (Pinehurst),42.529300,-71.225500,medium,700,MA,Billerica,MHC Reconnaissance Survey Town Report: Billerica (1980),,"Report: undated 1660s map shows a circular, possibly palisaded Indian Towne east of the Shawsheen River at Pinehurst.; [verified] Wikipedia pins Pinehurst at 42.53361,-71.22944 (~580m); MHC survey confirms 1660s Indian Towne map there.",v7: coordinate verified
MHC recon: Blackstone River falls fishing site,42.015376,-71.551730,weak,1500,MA,Blackstone,MHC Reconnaissance Survey Town Report: Blackstone (1983),,"Report: anadromous runs in the Blackstone of particular importance, with a conjectured trail branch to Blackstone River Falls.; [verified] No named 'Blackstone River Falls' feature found in town sources before search budget was exhausted.",v7: coordinate verified
MHC recon: Mill River valley site zone (Elm Street corridor),42.027000,-71.525000,weak,1500,MA,Blackstone,MHC Reconnaissance Survey Town Report: Blackstone (1983),,Report: the Mill River in the east provided sites for fishing and agriculture; conjectured Mill River trail on Elm Street.; [verified] Search budget exhausted before Mill R./Elm St corridor in Blackstone could be verified.,v7: coordinate verified
MHC recon: Long Pond seasonal camps,42.202315,-73.008059,weak,1500,MA,Blandford,MHC Reconnaissance Survey Town Report: Blandford (1982),,"Report: likelihood of extant native-period sites greatest near Long and Blair Ponds; small seasonal fishing/hunting camps. Placed on Long Pond, W Blandford.; [verified] Blandford Wikipedia page does not mention Long Pond; search ran out before further lookup.",v7: coordinate verified
MHC recon: Blair Pond seasonal camps,42.177777,-72.977449,weak,1500,MA,Blandford,MHC Reconnaissance Survey Town Report: Blandford (1982),,"Report: promising locations in vicinity of Blandford's natural ponds incl. Long and Blair Ponds. Placed on Blair Pond, 2.5 mi W of Blandford centre.; [verified] Blandford Wikipedia page does not mention Blair Pond; search ran out before further lookup.",v7: coordinate verified
MHC recon: Knox Trail / Bay Path corridor (Route 23),42.183000,-72.959000,weak,3000,MA,Blandford,MHC Reconnaissance Survey Town Report: Blandford (1982),,"Report: primary E-W route, continuation of Bay Path along Knox Trail, from Russell Pond as Birch Hill Rd along the axis of Route 23. Node at Blandford centre on Rt 23.; [verified] Route 23/Knox Trail corridor not independently verified; search budget exhausted first.",v7: coordinate verified
MHC recon: Wattaquadock Hill trail route,42.421302,-71.634794,weak,2000,MA,Bolton,MHC Reconnaissance Survey Town Report: Bolton (1983),,"Report: alternate E-W route over Wataquadock Hill toward the lower Nashua. Placed at the Wattaquadock Hill summit.; [verified] Wikipedia confirms real hill, Bolton's highest pt, 1656 highway route; no summit coord found.",v7: coordinate verified
MHC recon: Nashua/Still River confluence camps,42.428000,-71.645000,weak,1500,MA,Bolton,MHC Reconnaissance Survey Town Report: Bolton (1983),,"Report: small short-term camps east of the Nashua River; routes run east toward the Nashua confluence and N-S along Still River. Placed at Bolton Flats on the town's west edge.; [verified] Wikipedia: Bolton Flats WMA sits at Nashua/Still R confluence, matching placement descripti",v7: coordinate verified
MHC recon: Mill Pond (Causeway Street) Contact sites,42.364000,-71.060500,weak,1500,MA,Boston,MHC Reconnaissance Survey Town Report: Boston (1981),,Report: suspected Contact sites within the former Mill Pond area of Causeway Street. Placed at Causeway St over the filled Mill Pond.; [verified] Mill Pond (Boston) page unfetchable; search budget exhausted before verification could complete.,v7: coordinate verified
Nonantum Praying Village (Oak Square),42.348700,-71.157400,medium,700,MA,Boston,MHC Reconnaissance Survey Town Report: Boston (1981),,"Report: Native Praying Village reported at Oak Square during the 1650s with adjacent site at Nonantum in Newton. Placed at Oak Square, Brighton.; [verified] Brighton wiki confirms 1646 Praying-Indian village at Newton-Brighton line, by Oak Square.",v7: coordinate verified
MHC recon: Nonantum site near Gallagher Park,42.362800,-71.148500,weak,1500,MA,Boston,MHC Reconnaissance Survey Town Report: Boston (1981),,"Report: probable period site known as Nonantum probably located in the vicinity of Gallagher Park. Placed at Gallagher Park on the Charles, Brighton.; [verified] Gallagher Park not found in sources checked; search budget exhausted before verification.",v7: coordinate verified
MHC recon: Great Herring Pond Contact cemetery (Comassakumkanett),41.797170,-70.558880,medium,400,MA,Bourne/Plymouth,MHC Reconnaissance Survey Town Report: Bourne (1984),,"Report: the one recognized Contact site is a cemetery on the southern shore of Great Herring Pond at the Plymouth County line, possibly tied to Comassakumkanett.; [verified] Matches Herring Pond Cemetery (MACRIS PLY801), Plymouth, near Bourne line; town/findagrave source.",v7: coordinate verified
MHC recon: Bournedale Herring Pond praying village and meetinghouse,41.786190,-70.565870,strong,200,MA,Bourne,MHC Reconnaissance Survey Town Report: Bourne (1984),,Report: first meetinghouse for Christian natives built in the Bournedale praying town around Herring Pond; another in 1765. Placed at the Bournedale Herring Pond Indian burying ground.; [verified] Exact match to Find a Grave 'Bournedale Herring Pond Indian Cemetery' coordinates.,v7: coordinate verified
"MHC recon: Manomet (Manametts) settlement, Monument Beach",41.715900,-70.617300,medium,1200,MA,Bourne,MHC Reconnaissance Survey Town Report: Bourne (1984),,"Report: Contact settlement reported as the Manomet or Manametts settlement in the Monument Beach area; village survived King Philip's War. Placed at Monument Beach village.; [verified] Wikipedia Monument Beach center ~0.9km away, within margin; village site is generalized.",v7: coordinate verified
"MHC recon: Pokesit (Poughkeesett) settlement, Pocasset",41.688400,-70.617500,medium,1200,MA,Bourne,MHC Reconnaissance Survey Town Report: Bourne (1984),,"Report: Contact settlement reported as the Pokesit or Poughkeesett settlement in the Pocasset area. Placed at Pocasset village on Buzzards Bay.; [verified] Wikipedia Pocasset village center ~0.3km away, well within margin.",v7: coordinate verified
MHC recon: Kitteaumett settlement,41.672000,-70.620900,weak,1500,MA,Bourne,MHC Reconnaissance Survey Town Report: Bourne (1984),,"Report names the Kitteaumett settlement among Bourne's Contact settlements without a fixed location; placed at Cataumet, the surviving form of the name.; [verified] Cataumet/Post Office Sq station ~0.9km away, within margin; site itself has no fixed spot.",v7: coordinate verified
MHC recon: Buzzards Bay shore shell middens,41.695000,-70.625000,weak,4000,MA,Bourne,MHC Reconnaissance Survey Town Report: Bourne (1984),,"Report: numerous shell midden sites, possibly Woodland or Contact, present in coastal areas along Buzzards Bay near shellfish beds and estuaries. Placed mid-shore.; [verified] Generic multi-site coastal description; no single midden landmark exists to confirm.",v7: coordinate verified
MHC recon: Scusset-Herring-Monument River portage trail,41.757000,-70.598000,weak,3500,MA,Bourne,MHC Reconnaissance Survey Town Report: Bourne (1984),,Report: primary portage route between Cape Cod Bay and Buzzards Bay along the Scusset-Herring-Monument River corridor. Node at the Bournedale portage head.; [verified] No specific portage-head landmark confirmed; search budget ran out before deeper check.,v7: coordinate verified
MHC recon: Beaver Brook esker sites,42.488000,-71.508000,weak,2500,MA,Boxborough,MHC Reconnaissance Survey Town Report: Boxborough (1980),,"Report: sites possible on well drained terraces and knolls adjacent to major brooks, especially along the Beaver Brook esker. Placed on the esker in E Boxborough.; [verified] Search found only unrelated Beaver Brooks (Belmont etc.); no Boxborough esker landmark confirmed.",v7: coordinate verified
MHC recon: Indian Meadows south of Boxborough Station,42.502000,-71.527000,weak,1200,MA,Boxborough,MHC Reconnaissance Survey Town Report: Boxborough (1980),,"Report: may have been used as a resource area by Praying Town Indians - area south of Boxborough Station referred to as Indian Meadows. Placed S of Depot Rd station area.; [verified] Mass.gov confirms Boxborough Station WMA near Depot Rd, matching description; no exact pin found.",v7: coordinate verified
"MHC recon: Parker River sites, north Boxford",42.687000,-70.985000,weak,2500,MA,Boxford,MHC Reconnaissance Survey Town Report: Boxford (1985),,"Report: Contact sites may be present along the banks of the Parker River in the northern portion of town; travel combined water and land along the Parker. Placed on the river in N Boxford.; [verified] Only general Parker River/Boxford refs found, no coordinate for the north-Boxfo",v7: coordinate verified
"MHC recon: Fish Brook sites, south Boxford",42.638000,-71.003000,weak,1500,MA,Boxford,MHC Reconnaissance Survey Town Report: Boxford (1985),,Report: Contact sites may be present along Fish Brook in the south of town. Placed on Fish Brook in S Boxford.; [verified] USGS gauge confirms Fish Brook is real but sits more central in town; south stretch not separately pinned.,v7: coordinate verified
MHC recon: Stiles Pond pond-margin sites,42.688989,-71.037063,strong,400,MA,Boxford,MHC Reconnaissance Survey Town Report: Boxford (1985),,"Report: sites may be present along the periphery of major ponds (Stiles Pond, Hovey's Pond, Lowe Pond). Placed on Stiles Pond, the largest of the three.; [verified] Coordinates match hometownlocator's Stiles Pond location almost exactly.",v7: coordinate verified
MHC recon: Ipswich Road / Main Street trail junction,42.661300,-70.996700,weak,3000,MA,Boxford,MHC Reconnaissance Survey Town Report: Boxford (1985),,Report: conjectured native trails along the routes of the Ipswich Road and Main Street. Node placed at their junction in Boxford centre.; [verified] Search budget exhausted before this junction could be checked; margin widened per spec.,v7: coordinate verified
MHC recon: Rocky Pond cornfield site,42.349000,-71.692500,weak,1800,MA,Boylston,MHC Reconnaissance Survey Town Report: Boylston (1983),,"Report: one probable agricultural site north of Rocky Pond, based on frequent early references to an Indian cornfield; Green St a path to Rocky Pond camps.; [verified] Search budget exhausted before this row could be checked; confidence downgraded per spec.",v7: coordinate verified
MHC recon: Nashua River ford at Central Street / Sears Hill,42.379000,-71.733000,weak,2200,MA,Boylston,MHC Reconnaissance Survey Town Report: Boylston (1983),,"Report: E-W paths joining as Central-Sears Hill, which fords the former Nashua, now flooded by Wachusett Reservoir; terrace sites now submerged.; [verified] Search budget exhausted before this row could be checked; margin widened per spec.",v7: coordinate verified
MHC recon: Sunset Lake pond-knoll sites,42.202500,-71.012220,strong,300,MA,Braintree,MHC Reconnaissance Survey Town Report: Braintree (1979),,"Report: three reported sites with Late Woodland components on well drained knolls or terraces adjacent to fresh water ponds. Placed at Sunset Lake.; [verified] Wikipedia gives Sunset Lake at 42.2025,-71.0122, ~1km from prior point (near margin edge).",v7: coordinate verified
MHC recon: Monatiquot River fall-line terraces,42.215500,-70.999000,weak,1200,MA,Braintree,MHC Reconnaissance Survey Town Report: Braintree (1979),,Report: likely site locations on terraces and knolls along both the Monatiquot estuary and fall lines. Placed at the Monatiquot falls in Braintree centre.; [verified] Monatiquot River confirmed real (Wikipedia); no separate falls coordinate found near centre.,v7: coordinate verified
MHC recon: Way to Plimuth coastal trail at the Fore River,42.227500,-70.968000,weak,2500,MA,Braintree,MHC Reconnaissance Survey Town Report: Braintree (1979),,"Report: the way to Plimuth on the 1633 Winthrop map, around the Monatiquot/Fore River via Commercial St, is the coastal trail from the Neponset to Cohasset-Plymouth.; [verified] Near Monatiquot/Fore River confluence (~0.4km), consistent with described trail route.",v7: coordinate verified
"MHC recon: Stony Brook (Sauguatuckett) settlement centre, West Brewster",41.750000,-70.104500,weak,2000,MA,Brewster,MHC Reconnaissance Survey Town Report: Brewster (1984),,Report: known Late Woodland sites along the bay shore and in the Stony Brook area; local tradition centres the Sauguatucketts in West Brewster near the Mill Ponds.; [verified] Search budget exhausted before this row could be checked; confidence downgraded per spec.,v7: coordinate verified
MHC recon: Indian Fields east of the Sauguatuckett River,41.754000,-70.099000,weak,2200,MA,Brewster,MHC Reconnaissance Survey Town Report: Brewster (1984),,Report: all lands on the east side of the Sauguatuckett River were reportedly cleared at the time of settlement and known as Indian Fields.; [verified] Search budget exhausted before this row could be checked; margin widened per spec.,v7: coordinate verified
MHC recon: Mill Pond praying Indian meetinghouse,41.745500,-70.103000,weak,1500,MA,Brewster,MHC Reconnaissance Survey Town Report: Brewster (1984),,"Report: a meetinghouse was reportedly established in the Mill Pond area for Praying Indians by 1675. Placed at the Brewster Mill Ponds.; [verified] Couldn't confirm exact Brewster Mill Ponds site; search budget ran out. Widened margin, downgraded.",v7: coordinate verified
MHC recon: native meetinghouse west of Seymour's Pond,41.724000,-70.096000,weak,1000,MA,Brewster,MHC Reconnaissance Survey Town Report: Brewster (1984),,"Report: the last native American meetinghouse is noted on a path west of Seymour's Pond. Placed just W of Seymour Pond on the Brewster side.; [verified] Seymour Pond confirmed (Mapcarta/GNIS) 41.724028,-70.092479, Harwich-Brewster line; corrected ~4.7km.",v7: coordinate verified
MHC recon: Sherman Pond-Marsh (Indian) Hill village site,42.138500,-72.192500,medium,900,MA,Brimfield,MHC Reconnaissance Survey Town Report: Brimfield (1982),,"Probable Contact period village extending from the N shore of Sherman Pond to the S slope of Marsh Hill (Indian Hill); placed between pond and hill; [verified] Sherman Pond confirmed (GNIS/hometownlocator) 42.1349,-72.1940, ~415m from point; within margin.",v7: coordinate verified
Quabaug Old Fort (Indian Hill),42.142500,-72.190000,weak,1500,MA,Brimfield,MHC Reconnaissance Survey Town Report: Brimfield (1982),,"Indian Hill reputedly the site of Quabaug Old Fort, a Contact/Plantation period stronghold where King Philip is said to have taken refuge; placed on Marsh/Indian Hill above Sherman Pond; [verified] Indian Hill marker exists near Brimfield center per Waymarking but exact coords un",v7: coordinate verified
MHC recon: Steerage Rock lookout (West Mountain),42.122467,-72.200250,strong,150,MA,Brimfield,MHC Reconnaissance Survey Town Report: Brimfield (1982),,"Steerage Rock, the town high point (1205 ft) and a Bay Path landmark, claimed to have been used by area natives as a vantage point; placed on West (Waddaquadduck) Mountain crest off Warren Rd; [verified] HMDB marker names Steerage Rock at 42.122467,-72.200250, near Brimfield cent",v7: coordinate verified
MHC recon: Tower Hill sensitive area,42.142000,-72.208000,weak,1500,MA,Brimfield,MHC Reconnaissance Survey Town Report: Brimfield (1982),,"Report flags the Sherman Pond, Marsh Hill and Tower Hill area as archaeologically sensitive; placed on Tower Hill NW of Brimfield centre; [verified] No source pinpointed Tower Hill in Brimfield; search budget exhausted before further lookup.",v7: coordinate verified
MHC recon: Salisbury Plain River ford (Crescent-Grove Sts),42.088000,-71.023500,weak,1500,MA,Brockton,MHC Reconnaissance Survey Town Report: Brockton (1981),,Documented N/S trail on Main St with presumed ford over the Salisbury (Plain) River at Crescent-Grove Streets; placed at the river crossing N of Brockton centre; [verified] Could not confirm Crescent-Grove St intersection coordinates; search budget exhausted.,v7: coordinate verified
Stone House Hill cave (rock shelter),42.063000,-71.080000,weak,1500,MA,Brockton/Easton,MHC Reconnaissance Survey Town Report: Brockton (1981),,Stone House Hill cave adjacent to the Brockton-Easton line near the old road to Easton (Stonehill St) reputedly used by natives for shelter; placed at that line near Stonehill College; [verified] No source found for Stone House Hill cave distinct from Stonehill College; search bu,v7: coordinate verified
MHC recon: Quaboag River collecting area (W of Quaboag Pond),42.215500,-72.107000,weak,2000,MA,Brookfield,MHC Reconnaissance Survey Town Report: Brookfield (1984),,"Area W of Quaboag Pond and along the Quaboag River described as one of central Massachusetts' richest collecting areas, Middle Archaic through Late Woodland; placed on the river reach by Brookfield centre; [verified] Quaboag Pond confirmed (Wikipedia) 42.1872,-72.0681, ~4.5km awa",v7: coordinate verified
MHC recon: Quacumquasit Pond site cluster,42.172214,-72.072992,weak,700,MA,Brookfield,MHC Reconnaissance Survey Town Report: Brookfield (1984),,"Many native sites likely at Quaboag and Quacumquasit Ponds; placed on Quacumquasit (South) Pond, with a trail between the two ponds on Cross Rd; [verified] Quacumquasit Pond confirmed (onWater/GNIS) 42.172214,-72.072992; corrected ~1.8km from prior placement.",v7: coordinate verified
MHC recon: Brookline palisaded fort (Amory Playground),42.345000,-71.118000,medium,400,MA,Brookline,MHC Reconnaissance Survey Town Report: Brookline (1980),,"Probable period site: a palisaded and ditched square fort overlooking the Muddy River, apparently in the vicinity of the Amory playground on Beacon St at Longwood; [verified] Amory Playground confirmed (Freeman & Amory St) 42.3460,-71.1132, ~410m away; at edge but within margin.",v7: coordinate verified
MHC recon: Heath School site,42.318500,-71.155500,weak,700,MA,Brookline,MHC Reconnaissance Survey Town Report: Brookline (1980),,"Unidentified native site reported near the Heath School; placed at the school on Eliot St; [verified] School confirmed at 100 Eliot St (now Roland Hayes School), matches basis; exact coords unavailable.",v7: coordinate verified
MHC recon: site W of Walnut Hill (Baker School),42.310000,-71.160000,weak,800,MA,Brookline,MHC Reconnaissance Survey Town Report: Brookline (1980),,"Unidentified native site reported west of Walnut Hill near the Baker School; placed at the Baker School on Beverly Rd; [verified] Baker School confirmed at 205 Beverly Rd, Brookline, matches basis; exact coords unavailable.",v7: coordinate verified
MHC recon: Muddy River ford (Brookline Village),42.332000,-71.119000,weak,500,MA,Brookline,MHC Reconnaissance Survey Town Report: Brookline (1980),,"Junction of trails around the Charles River highlands and Back Bay with a critical ford over the Muddy River at Boylston-Washington Streets, Brookline Village; [verified] Brookline Village center confirmed (Wikipedia) 42.3333,-71.1211, ~230m away; within margin.",v7: coordinate verified
MHC recon: Shelburne Falls fishing encampment (Buckland side),42.603000,-72.740000,medium,600,MA,Buckland,MHC Reconnaissance Survey Town Report: Buckland (1982),,"Shelburne Falls was the site of large native fishing encampments during spring salmon and shad runs; secondary sources put occupation on the Buckland side of the falls; [verified] Shelburne Falls confirmed (Wikipedia) 42.6053,-72.7383, ~290m away; within margin, tightened slightl",v7: coordinate verified
MHC recon: Deerfield River floodplain sites,42.611000,-72.768000,weak,3000,MA,Buckland,MHC Reconnaissance Survey Town Report: Buckland (1982),,Native occupation and horticulture indicated on the Deerfield River floodplain; report says evidence is most likely to survive there; placed on the Buckland bank downstream of Shelburne Falls; [verified] Deerfield River near Buckland confirmed only generally (Wikipedia); no speci,v7: coordinate verified
MHC recon: Clesson Brook floodplain sites,42.583500,-72.836000,weak,600,MA,Buckland,MHC Reconnaissance Survey Town Report: Buckland (1982),,"Secondary sources suggest native occupation on the Clesson Brook floodplain; placed on the brook near Buckland Four Corners; [verified] Clesson Brook at Buckland Four Corners confirmed (USGS gauge) 42.5834,-72.8362, ~20m away; tightened.",v7: coordinate verified
MHC recon: Sandy Brook site,42.506000,-71.203000,weak,1500,MA,Burlington,MHC Reconnaissance Survey Town Report: Burlington (1980),,"Site reported on Sandy Brook; primary N/S trail presumed as Cambridge St across Sandy Brook, so placed at that crossing; [verified] Could not confirm Sandy Brook/Cambridge St crossing coordinates; search budget exhausted.",v7: coordinate verified
MHC recon: Vine Brook / Great Meadow site area,42.487000,-71.203000,weak,1500,MA,Burlington,MHC Reconnaissance Survey Town Report: Burlington (1980),,"Sites possible along Vine Brook, especially in the Great Meadows area; placed on Vine Brook in the Great Meadows wetland by the Lexington line; [verified] Vine Brook confirmed through Burlington/Lexington (Wikipedia); exact Great Meadows stretch unpinned.",v7: coordinate verified
MHC recon: Long Meadow Brook terraces,42.493000,-71.210000,weak,1500,MA,Burlington,MHC Reconnaissance Survey Town Report: Burlington (1980),,"Well drained, south facing areas along Sandy and Long Meadow Brooks named as likely site locations; placed at Long Meadow Brook's confluence with Vine Brook; [verified] Could not confirm Long Meadow Brook/Vine Brook confluence coordinates; search budget exhausted.",v7: coordinate verified
MHC recon: Alewife Brook fish weir and ford,42.398200,-71.129000,weak,1500,MA,Cambridge,MHC Reconnaissance Survey Town Report: Cambridge (1980),,"Primary N/S trail to Menotomy conjectured as Massachusetts Ave to a presumed ford at the Alewife Brook fish weir; placed where Mass Ave crosses Alewife Brook; [verified] Found Alewife Brook Reservation pt ~1.8km off, not the Mass Ave crossing",v7: coordinate verified
MHC recon: Charles River Oyster Banks (Cambridgeport),42.358000,-71.096000,weak,1200,MA,Cambridge,MHC Reconnaissance Survey Town Report: Cambridge (1980),,"Extensive oyster beds known along the Cambridgeport section of the Charles; branching trails ran to the tidal Oyster Banks fishing grounds in the MIT area; [verified] Wikipedia Cambridgeport centroid (42.360,-71.108) is ~1km from existing point; consistent.",v7: coordinate verified
MHC recon: Fresh Pond north shore (City Home property),42.388500,-71.148800,medium,500,MA,Cambridge,MHC Reconnaissance Survey Town Report: Cambridge (1980),,"Contact period sites suspected around Fresh Pond; the Cambridge City Home property on the north side of the pond named as one possible area of site survival; [verified] Wikipedia Fresh Pond center (42.383,-71.150) confirms pond location; north-shore offset expected.",v7: coordinate verified
"MHC recon: Charles riverbank, Captains Island to Mount Auburn",42.369000,-71.140000,weak,1200,MA,Cambridge,MHC Reconnaissance Survey Town Report: Cambridge (1980),,"Prehistoric sites documented along the Charles river bank between Captains Island and Mount Auburn; placed on that reach of the Cambridge shore; [verified] Mount Auburn Cemetery (42.371,-71.145) is ~450m from existing point on that Charles reach.",v7: coordinate verified
MHC recon: Harvard Square trail junction and Charles ford,42.373610,-71.118890,weak,200,MA,Cambridge,MHC Reconnaissance Survey Town Report: Cambridge (1980),,Important junction of trails from the coastal fishing grounds to the Mystic Valley around Harvard Square with a low tide ford across the Charles at the Larz Anderson bridge; [verified] Wikipedia Harvard Square infobox coordinates,v7: coordinate verified
Ponkapoag Indian Plantation,42.187000,-71.120000,weak,2500,MA,Canton,MHC Reconnaissance Survey Town Report: Canton (1979),,"Indian Plantation at Punkapoag established 1657, about 6000 acres, with a small fort built to protect it in 1675; centred on Ponkapoag village and pond; [verified] Wikipedia Ponkapoag Pond 42.192500,-71.095000 is within stated margin",v7: coordinate verified
MHC recon: Blue Hills felsite and slate quarries,42.213000,-71.121000,weak,2000,MA,Canton,MHC Reconnaissance Survey Town Report: Canton (1979),,"Major quarry sites in the Blue Hills area named as the source of felsite and slate for implements; placed on the Canton side of the Blue Hills; [verified] Wikipedia gives Great Blue Hill at 42.212043,-71.115606, ~460m away, within margin.",v7: coordinate verified
MHC recon: York Street native residences,42.173900,-71.093900,weak,1500,MA,Canton,MHC Reconnaissance Survey Town Report: Canton (1979),,Last elements of the Indian Plantation population recorded on York St in the Early Industrial period; placed on York St in eastern Canton; [verified] Unfound: York St segment in Canton not geolocatable via Waze/OSM; coords unchanged.,v7: coordinate verified
MHC recon: Taunton Path node (Green-Green Lodge Sts),42.207000,-71.140000,weak,2000,MA,Canton,MHC Reconnaissance Survey Town Report: Canton (1979),,"Documented Path to Taunton around the Neponset marshes, Blue Hills and Punkapoag Pond running as Green-Green Lodge Sts; placed at that route by the Fowl Meadow; [verified] Search for Green Lodge St, Canton returned only real-estate listings, no trail coords.",v7: coordinate verified
MHC recon: Concord River sites,42.534000,-71.312000,weak,2000,MA,Carlisle,MHC Reconnaissance Survey Town Report: Carlisle (1980),,"A few unspecified sites reported along the Concord with additional sites likely; conjectured trails follow the valley as Maple St and River Rd; placed on the Carlisle bank; [verified] Wikipedia gives only Concord River's Concord confluence/Lowell mouth, no Carlisle point.",v7: coordinate verified
MHC recon: Spencer Brook terrace sites,42.515000,-71.365000,weak,1500,MA,Carlisle,MHC Reconnaissance Survey Town Report: Carlisle (1980),,Unspecified sites reported on terraces overlooking Spencer Brook; placed on the brook in southwestern Carlisle; [verified] No specific source for Spencer Brook site; only generic town data found,v7: coordinate verified
MHC recon: Pages Brook terrace sites,42.543000,-71.320000,weak,1500,MA,Carlisle,MHC Reconnaissance Survey Town Report: Carlisle (1980),,Unspecified sites reported on terraces overlooking Pages Brook; placed on the brook in northeastern Carlisle near Page Brook Rd; [verified] Carlisle sources lack Page Brook detail; only town-center coord found,v7: coordinate verified
MHC recon: Great Brook terrace sites,42.549000,-71.348000,weak,1500,MA,Carlisle,MHC Reconnaissance Survey Town Report: Carlisle (1980),,"Unspecified sites reported on terraces overlooking Great Brook; placed on the brook at Great Brook Farm in northern Carlisle; [verified] Wikipedia Great Brook Farm SP at 42.55583,-71.35333, within margin",v7: coordinate verified
MHC recon: Deerfield River-Cold River confluence site cluster,42.638600,-72.942000,weak,1500,MA,Charlemont,MHC Reconnaissance Survey Town Report: Charlemont (1982),,"Report: several undated native sites on the Deerfield River floodplain near the river's confluence with the Cold River; placed at that confluence by Mohawk Trail State Forest; [verified] USGS Charlemont gauge (42.626,-72.854) is ~7km off, not at Cold River confluence; unconfirmed",v7: coordinate verified
MHC recon: Todd Mountain native lookout,42.646500,-72.938000,weak,1500,MA,Charlemont,MHC Reconnaissance Survey Town Report: Charlemont (1982),,Report: eastern summit of Todd Mountain reputed to have been used as a native lookout; placed just E of the mapped Todd Mountain summit; [verified] HikingProject coordinate ~7km off and inconsistent; nothing confirmable,v7: coordinate verified
"MHC recon: Deerfield floodplain, Zoar to Charlemont village",42.638000,-72.895000,weak,2500,MA,Charlemont,MHC Reconnaissance Survey Town Report: Charlemont (1982),,"Report: greatest likelihood of Contact sites on Deerfield floodplain between the villages of Zoar and Charlemont; midpoint of that reach; [verified] Wikipedia Zoar village 42.652500,-72.931389 consistent with stated Zoar-Charlemont midpoint",v7: coordinate verified
"MHC recon: Deerfield floodplain, Hartwell Brook to East Charlemont",42.622000,-72.842000,weak,2000,MA,Charlemont,MHC Reconnaissance Survey Town Report: Charlemont (1982),,Report: likely Contact sites between the Deerfield-Hartwell Brook confluence and East Charlemont village; placed midway along that reach; [verified] No Hartwell Brook/Deerfield confluence site found; only unrelated Charlemont results,v7: coordinate verified
Indian Hill Burial Place,42.165000,-71.945000,weak,2500,MA,Charlton,MHC Reconnaissance Survey Town Report: Charlton (1984),,"Report: documented native burial site on Indian Hill in the northeast of town; hill not separately mapped, placed in NE Charlton quadrant; [verified] Town of Charlton page gives only 1875 relative description, no coordinates confirmable",v7: coordinate verified
